Scenario,TraceFile,Algorithm,PageTableType,PageSizeKB,MemorySizeKB,TotalAccesses,PageFaults,DirtyPages,ExecutionTimeSeconds
1,./input/simulador.log,random,invertida,4,2048,1000000,8798,3450,0.151001
1,./input/simulador.log,random,invertida,4,4096,1000000,5942,2404,0.162153
1,./input/simulador.log,random,invertida,4,8192,1000000,4528,1365,0.140472
1,./input/simulador.log,random,invertida,4,16384,1000000,3890,0,0.156000
1,./input/simulador.log,lfu,densa,4,128,1000000,712137,143424,0.259395
1,./input/simulador.log,lfu,densa,4,256,1000000,673873,138538,0.360151
1,./input/simulador.log,lfu,densa,4,512,1000000,266860,67087,0.308247
1,./input/simulador.log,lfu,densa,4,1024,1000000,197601,60944,0.338809
1,./input/simulador.log,lfu,densa,4,2048,1000000,117773,28201,0.392041
1,./input/simulador.log,lfu,densa,4,4096,1000000,41536,14545,0.315779
1,./input/simulador.log,lfu,densa,4,8192,1000000,8349,1963,0.198492
1,./input/simulador.log,lfu,densa,4,16384,1000000,3890,0,0.138854
1,./input/simulador.log,lfu,hier2,4,128,1000000,712137,143424,0.295976
1,./input/simulador.log,lfu,hier2,4,256,1000000,673873,138538,0.377183
1,./input/simulador.log,lfu,hier2,4,512,1000000,266860,67087,0.279162
1,./input/simulador.log,lfu,hier2,4,1024,1000000,197601,60944,0.359583
1,./input/simulador.log,lfu,hier2,4,2048,1000000,117773,28201,0.396621
1,./input/simulador.log,lfu,hier2,4,4096,1000000,41536,14545,0.310635
1,./input/simulador.log,lfu,hier2,4,8192,1000000,8349,1963,0.190356
1,./input/simulador.log,lfu,hier2,4,16384,1000000,3890,0,0.131106
1,./input/simulador.log,lfu,hier3,4,128,1000000,712137,143424,0.299175
1,./input/simulador.log,lfu,hier3,4,256,1000000,673873,138538,0.401157
1,./input/simulador.log,lfu,hier3,4,512,1000000,266860,67087,0.287195
1,./input/simulador.log,lfu,hier3,4,1024,1000000,197601,60944,0.337200
1,./input/simulador.log,lfu,hier3,4,2048,1000000,117773,28201,0.392904
1,./input/simulador.log,lfu,hier3,4,4096,1000000,41536,14545,0.310584
1,./input/simulador.log,lfu,hier3,4,8192,1000000,8349,1963,0.174275
1,./input/simulador.log,lfu,hier3,4,16384,1000000,3890,0,0.147353
1,./input/simulador.log,lfu,invertida,4,128,1000000,712137,143424,0.304952
1,./input/simulador.log,lfu,invertida,4,256,1000000,673873,138538,0.380318
1,./input/simulador.log,lfu,invertida,4,512,1000000,266860,67087,0.338520
1,./input/simulador.log,lfu,invertida,4,1024,1000000,197601,60944,0.391317
1,./input/simulador.log,lfu,invertida,4,2048,1000000,117773,28201,0.403736
1,./input/simulador.log,lfu,invertida,4,4096,1000000,41536,14545,0.293040
1,./input/simulador.log,lfu,invertida,4,8192,1000000,8349,1963,0.180620
1,./input/simulador.log,lfu,invertida,4,16384,1000000,3890,0,0.141295
2,./input/compilador.log,lru,densa,2,1024,1000000,15330,2957,0.151986
2,./input/compilador.log,lru,densa,4,1024,1000000,25308,4231,0.148148
2,./input/compilador.log,lru,densa,8,1024,1000000,36707,5775,0.144170
2,./input/compilador.log,lru,densa,16,1024,1000000,47424,7770,0.138278
2,./input/compilador.log,lru,densa,32,1024,1000000,60336,9429,0.131677
2,./input/compilador.log,lru,densa,64,1024,1000000,77837,11593,0.126829
2,./input/compilador.log,lru,hier2,2,1024,1000000,15330,2957,0.142369
2,./input/compilador.log,lru,hier2,4,1024,1000000,25308,4231,0.165838
2,./input/compilador.log,lru,hier2,8,1024,1000000,36707,5775,0.154235
2,./input/compilador.log,lru,hier2,16,1024,1000000,47424,7770,0.151546
2,./input/compilador.log,lru,hier2,32,1024,1000000,60336,9429,0.128848
2,./input/compilador.log,lru,hier2,64,1024,1000000,77837,11593,0.127274
2,./input/compilador.log,lru,hier3,2,1024,1000000,15330,2957,0.157880
2,./input/compilador.log,lru,hier3,4,1024,1000000,25308,4231,0.156298
2,./input/compilador.log,lru,hier3,8,1024,1000000,36707,5775,0.145597
2,./input/compilador.log,lru,hier3,16,1024,1000000,47424,7770,0.145568
2,./input/compilador.log,lru,hier3,32,1024,1000000,60336,9429,0.141163
2,./input/compilador.log,lru,hier3,64,1024,1000000,77837,11593,0.154659
2,./input/compilador.log,lru,invertida,2,1024,1000000,15330,2957,0.182715
2,./input/compilador.log,lru,invertida,4,1024,1000000,25308,4231,0.163347
2,./input/compilador.log,lru,invertida,8,1024,1000000,36707,5775,0.174563
2,./input/compilador.log,lru,invertida,16,1024,1000000,47424,7770,0.153659
2,./input/compilador.log,lru,invertida,32,1024,1000000,60336,9429,0.197483
2,./input/compilador.log,lru,invertida,64,1024,1000000,77837,11593,0.171606
2,./input/compilador.log,fifo,densa,2,1024,1000000,21639,4442,0.174008
